time,close,high,low,open,volumefrom,volumeto
2020-05-25 05:00:00,8782.93,8820.0,8761.07,8806.0,1775.96,15598387.32
2020-05-25 06:00:00,8789.51,8815.78,8762.23,8782.93,1900.59,16708263.63
2020-05-25 07:00:00,8867.31,8874.41,8772.27,8789.51,3021.44,26687274.44
2020-05-25 08:00:00,8820.54,8881.24,8813.21,8867.31,2214.06,19577884.59
2020-05-25 09:00:00,8753.95,8875.18,8705.26,8820.54,4355.65,38266424.49
2020-05-25 10:00:00,8689.0,8797.0,8675.0,8753.95,3527.38,30832852.32
2020-05-25 11:00:00,8752.41,8768.64,8668.29,8689.0,3205.3,27976454.36
2020-05-25 12:00:00,8761.01,8786.88,8731.52,8752.41,2560.7,22441934.33
2020-05-25 13:00:00,8814.14,8835.86,8728.41,8761.01,2847.34,24972751.65
2020-05-25 14:00:00,8755.95,8857.0,8744.39,8814.14,3604.9,31773302.47
2020-05-25 15:00:00,8782.44,8806.46,8742.53,8755.95,2295.13,20133029.35
2020-05-25 16:00:00,8810.07,8847.7,8762.27,8782.44,2474.41,21816768.21
2020-05-25 17:00:00,8893.5,8918.0,8792.3,8810.07,3519.38,31193080.9
2020-05-25 18:00:00,8886.17,8909.92,8860.0,8893.5,2232.68,19835667.59
2020-05-25 19:00:00,8928.06,8979.66,8871.46,8886.17,3497.83,31250541.02
2020-05-25 20:00:00,8913.54,8950.0,8896.13,8928.06,1568.79,13993623.99
2020-05-25 21:00:00,8900.0,8926.55,8860.98,8913.54,1511.93,13445835.71
2020-05-25 22:00:00,8903.3,8923.57,8865.1,8900.0,1170.05,10413594.35
2020-05-25 23:00:00,8900.35,8940.0,8889.9,8903.3,1495.51,13332976.99
2020-05-26 00:00:00,8866.06,8925.0,8822.74,8900.35,2755.98,24451239.37
2020-05-26 01:00:00,8881.53,8892.25,8856.07,8866.06,1396.12,12388739.42
2020-05-26 02:00:00,8882.4,8917.88,8871.89,8881.53,1471.25,13087499.23
2020-05-26 03:00:00,8903.76,8930.0,8871.58,8882.4,1593.12,14192994.45
2020-05-26 04:00:00,8905.82,8926.26,8880.15,8903.76,1509.13,13442780.51
2020-05-26 05:00:00,8937.43,8940.0,8891.93,8905.82,1925.27,17169416.69
2020-05-26 06:00:00,8887.59,8940.0,8881.26,8937.43,2033.59,18112917.97
2020-05-26 07:00:00,8957.49,8965.0,8860.05,8887.59,3930.14,35087963.74
2020-05-26 08:00:00,8960.01,9017.67,8943.01,8957.49,3748.07,33669900.93
2020-05-26 09:00:00,8893.7,8993.0,8870.0,8960.01,3373.33,30098451.45
2020-05-26 10:00:00,8861.41,8900.0,8832.38,8893.7,3376.8,29946489.56
2020-05-26 11:00:00,8869.15,8886.0,8841.0,8861.41,1854.77,16441982.09
2020-05-26 12:00:00,8817.21,8914.56,8788.04,8869.15,3863.57,34136531.57
2020-05-26 13:00:00,8809.22,8862.0,8785.03,8817.21,2526.02,22294523.04
2020-05-26 14:00:00,8817.17,8858.96,8791.91,8809.22,2496.26,22037451.72
2020-05-26 15:00:00,8726.6,8837.26,8705.0,8817.17,4695.01,41149177.49
2020-05-26 16:00:00,8790.01,8808.45,8700.0,8726.6,3823.67,33537891.83
2020-05-26 17:00:00,8811.03,8820.0,8782.73,8790.01,1894.61,16680169.44
2020-05-26 18:00:00,8810.99,8819.99,8792.0,8811.03,1630.4,14357130.98
2020-05-26 19:00:00,8800.0,8811.0,8760.2,8810.99,1929.68,16955002.46
2020-05-26 20:00:00,8856.2,8880.0,8799.99,8800.0,2401.14,21232780.44
2020-05-26 21:00:00,8842.25,8880.0,8825.63,8856.2,1366.3,12093284.44
2020-05-26 22:00:00,8834.92,8843.95,8801.12,8842.25,1506.87,13297226.35
2020-05-26 23:00:00,8841.18,8859.0,8815.0,8834.92,1198.69,10593583.71
2020-05-27 00:00:00,8886.87,8897.8,8832.61,8841.18,2281.67,20233869.73
2020-05-27 01:00:00,8855.0,8893.0,8845.79,8886.87,1131.99,10033447.01
2020-05-27 02:00:00,8822.59,8878.16,8811.73,8855.0,1726.73,15283097.62
2020-05-27 03:00:00,8828.9,8854.68,8820.43,8822.59,1114.54,9852403.52
2020-05-27 04:00:00,8859.62,8860.68,8825.0,8828.9,1160.21,10258329.21
