time,high,low,open,volumefrom,volumeto,close
2017-07-08 15:00:00,2504.98,2488.64,2502.79,3.413,8540.92,2496.63
2017-07-08 14:00:00,2512.61,2422.41,2455.29,70.44,175675.66,2493.98
2017-07-08 13:00:00,2493.37,2461.73,2479.19,2.26,5596.26,2491.61
2017-07-08 12:00:00,2484.45,2448.24,2460.26,2.357,5794.9,2479.19
2017-07-08 11:00:00,2471.12,2440.36,2440.36,1.809,4451.44,2460.26
2017-07-08 10:00:00,2471.96,2439.97,2460.99,2.622,6442.82,2440.36
2017-07-08 09:00:00,2474.93,2438.75,2459.63,2.64,6476.55,2460.99
2017-07-08 08:00:00,2460.75,2431.44,2438.91,1.25,3057.01,2459.63
2017-07-08 07:00:00,2471.41,2438.47,2464.58,2.289,5622.89,2438.91
2017-07-08 06:00:00,2475.71,2439.52,2474.09,2.275,5576.71,2464.58
2017-07-08 05:00:00,2481.84,2448.19,2473.91,1.706,4199.47,2474.09
2017-07-08 04:00:00,2484.76,2447.51,2447.51,1.366,3367.85,2473.91
2017-07-08 03:00:00,2498.96,2442.84,2468.73,2.231,5475.73,2447.51
2017-07-08 02:00:00,2484.32,2448.76,2465.23,1.519,3743.63,2468.73
2017-07-08 01:00:00,2492.3,2448.67,2476.96,1.979,4888.73,2465.23
2017-07-08 00:00:00,2478.07,2458.59,2463.04,0.9295,2295.22,2476.96
2017-07-07 23:00:00,2474.52,2453.83,2463.28,1.521,3752.5,2463.04
2017-07-07 22:00:00,2504.23,2456.51,2504.23,3.546,8786.16,2463.28
2017-07-07 21:00:00,2497.95,2470.21,2484.6,67.49,166997.68,2474.41
2017-07-07 20:00:00,2508.62,2482.06,2492.63,2.099,5238.72,2508.62
2017-07-07 19:00:00,2503.99,2455.89,2477.5,2.284,5670.8,2492.63
2017-07-07 18:00:00,2503.12,2467.4,2475.54,5.629,14006.51,2477.5
2017-07-07 17:00:00,2483.18,2399.84,2481.93,80.6,197878.3,2455.07
2017-07-07 16:00:00,2503.88,2472.86,2482.24,6.383,15924.06,2491.5
2017-07-07 15:00:00,2491.8,2455.2,2457.68,101.26,250586.92,2474.69
2017-07-07 14:00:00,2504.0,2480.96,2497.2,3.681,9167.46,2481.84
2017-07-07 13:00:00,2515.95,2463.23,2491.93,3.552,8856.79,2497.2
2017-07-07 12:00:00,2505.54,2477.53,2502.14,2.741,6838.19,2491.93
2017-07-07 11:00:00,2505.14,2480.26,2480.33,3.383,8409.85,2502.14
2017-07-07 10:00:00,2657.3,2657.3,2654.66,34.21,90906.2,2657.3
2017-07-07 09:00:00,2663.12,2277.9,2277.9,0.02614,69.6,2663.12
2017-07-07 08:00:00,2662.41,2277.9,2662.41,0.0004,0.9112,2277.9
2017-07-07 07:00:00,2573.33,2515.37,2530.84,0.01368,35.06,2522.83
2017-07-07 06:00:00,2573.74,2514.67,2538.84,0.174,435.64,2530.84
2017-07-07 05:00:00,2542.85,2529.46,2540.91,0.07562,189.52,2538.84
2017-07-07 04:00:00,2547.52,2531.73,2542.2,0.1056,264.63,2540.91
2017-07-07 03:00:00,2575.17,2538.81,2549.13,0.02269,58.28,2542.2
2017-07-07 02:00:00,2553.97,2542.31,2553.97,0.02001,50.14,2549.13
2017-07-07 01:00:00,2577.74,2541.96,2577.74,1.104e-05,0.02773,2553.97
2017-07-07 00:00:00,2577.79,2545.92,2545.92,0.001228,3.157,2577.74
2017-07-06 23:00:00,2577.03,2539.12,2569.96,0.03619,92.76,2545.92
2017-07-06 22:00:00,2582.57,2544.32,2548.25,0.08321,208.44,2569.96
2017-07-06 21:00:00,2578.15,2542.7,2577.83,0.1886,475.11,2548.25
2017-07-06 20:00:00,2579.21,2575.31,2577.99,0.09327,239.66,2577.83
2017-07-06 19:00:00,2580.03,2577.32,2578.93,0.0003737,0.9604,2577.99
2017-07-06 18:00:00,2662.41,2662.41,2662.41,0.03568,95.0,2662.41
2017-07-06 17:00:00,2663.83,2662.41,2663.83,0.005208,13.87,2662.41
2017-07-06 16:00:00,2580.36,2578.21,2578.98,1.483e-05,0.03808,2579.11
2017-07-06 15:00:00,2586.37,2578.98,2585.36,0.0002537,0.6581,2578.98
2017-07-06 14:00:00,2586.29,2579.1,2580.78,0.003207,8.219,2585.36
2017-07-06 13:00:00,2585.98,2577.9,2585.98,0.08378,217.53,2580.78
2017-07-06 12:00:00,2592.85,2573.86,2573.86,0.5014,1295.08,2585.98
2017-07-06 11:00:00,2663.54,2506.42,2530.01,8.012,20757.72,2573.86
2017-07-06 10:00:00,2609.9,2498.26,2581.46,14.6,37255.09,2530.01
2017-07-06 09:00:00,2599.96,2548.44,2594.99,3.913,10122.86,2581.46
2017-07-06 08:00:00,2594.99,2561.0,2568.12,1.765,4555.99,2594.99
2017-07-06 07:00:00,2594.9,2550.25,2583.0,2.412,6195.62,2568.12
2017-07-06 06:00:00,2599.84,2534.63,2556.23,7.021,18154.25,2583.0
2017-07-06 05:00:00,2585.35,2523.21,2540.0,2.116,5389.21,2556.23
2017-07-06 04:00:00,2590.04,2527.57,2589.77,15.69,40088.49,2540.0
2017-07-06 03:00:00,2590.27,2562.08,2583.53,2.058,5307.93,2589.77
2017-07-06 02:00:00,2583.53,2556.96,2578.66,2.418,6221.96,2583.53
2017-07-06 01:00:00,2586.39,2554.79,2575.62,2.043,5250.31,2578.66
2017-07-06 00:00:00,2589.92,2564.83,2580.13,2.203,5665.24,2575.62
2017-07-05 23:00:00,2589.88,2565.13,2574.34,1.79,4618.16,2580.13
2017-07-05 22:00:00,2583.48,2550.17,2560.35,2.907,7474.63,2574.34
2017-07-05 21:00:00,2581.39,2548.49,2581.01,1.519,3904.74,2560.35
2017-07-05 20:00:00,2600.0,2555.5,2566.06,10.05,25827.66,2581.01
2017-07-05 19:00:00,2585.37,2522.01,2569.4,16.53,42220.51,2566.06
2017-07-05 18:00:00,2585.4,2522.18,2563.3,22.98,58419.13,2569.4
2017-07-05 17:00:00,2571.32,2542.05,2542.05,1.829,4680.12,2563.3
2017-07-05 16:00:00,2551.02,2520.22,2520.22,1.592,4034.39,2542.05
2017-07-05 15:00:00,2536.77,2510.23,2521.44,14.27,36036.07,2520.22
2017-07-05 14:00:00,2521.44,2469.62,2469.62,6.206,15562.57,2521.44
2017-07-05 13:00:00,2505.33,2451.82,2503.03,4.41,10989.83,2469.62
2017-07-05 12:00:00,2503.18,2472.74,2503.16,8.323,20739.21,2503.03
2017-07-05 11:00:00,2518.93,2494.3,2498.36,2.422,6066.24,2503.16
2017-07-05 10:00:00,2513.71,2498.0,2498.17,7.287,18215.36,2498.36
2017-07-05 09:00:00,2519.91,2498.0,2507.55,7.697,19281.02,2498.17
